"Domain Zone","# of domains","In Public Suffix","Whois","% of TLD"
"mil.tw","6","Yes","Yes","<1% of tw"
"mil.tz","2","Yes","Yes","<1% of tz"
"mil.uy","5","Yes","Yes","<1% of uy"
"mil.za","4","Yes","No","<1% of za"
"mk.ua","1296","Yes","Yes","<1% of ua"
"mn.us","319","Yes","Yes","<1% of us"
"mo.cn","396","Yes","No","<1% of cn"
"mo.us","113","Yes","Yes","<1% of us"
"mordovia.ru","11","Yes","Yes","<1% of ru"
"mordovia.su","4","Yes","Yes","<1% of su"
"ms.kr","1803","Yes","Yes","<1% of kr"
"ms.us","47","Yes","Yes","<1% of us"
"msk.ru","18094","Yes","Yes","<1% of ru"
"msk.su","584","Yes","Yes","<1% of su"
"mt.us","35","Yes","Yes","<1% of us"
"muni.il","140","Yes","No","<1% of il"
"murmansk.su","16","Yes","Yes","<1% of su"
"mus.br","664","Yes","Yes","<1% of br"
"mytis.ru","4","Yes","Yes","<1% of ru"
"n.se","16","Yes","Yes","<1% of se"
"nalchik.ru","16","Yes","Yes","<1% of ru"
"nalchik.su","3","Yes","Yes","<1% of su"
"name.my","53","Yes","No","<1% of my"
"name.tr","788","Yes","Yes","<1% of tr"
"name.vn","484","Yes","No","<1% of vn"
"navoi.su","1","No","Yes","<1% of su"
"nb.ca","321","Yes","Yes","<1% of ca"
"nc.us","159","Yes","Yes","<1% of us"
"nd.us","109","Yes","Yes","<1% of us"
"ne.jp","11449","Yes","Yes","1% of jp"
"ne.ke","4","No","Yes","<1% of ke"
"ne.kr","497","Yes","Yes","<1% of kr"
"ne.pw","810","Yes","Yes","<1% of pw"
"ne.us","134","Yes","Yes","<1% of us"
"net.ae","10","Yes","Yes","<1% of ae"
"net.af","1","Yes","Yes","<1% of af"
"net.ag","5","Yes","Yes","<1% of ag"
"net.ai","2","Yes","No","<1% of ai"
"net.ar","983","Yes","No","<1% of ar"
"net.au","202529","Yes","Yes","10% of au"
"net.az","5","Yes","Yes","<1% of az"
"net.ba","9","Yes","Yes","<1% of ba"
"net.bb","3","Yes","No","1% of bb"
"net.bh","5","Yes","No","2% of bh"
"net.br","17305","Yes","Yes","1% of br"
"net.bs","1","Yes","No","<1% of bs"
"net.cm","1","Yes","No","<1% of cm"
"net.cn","124852","Yes","No","2% of cn"
"net.co","1296","Yes","Yes","<1% of co"
"net.cu","3","Yes","No","<1% of cu"
"net.cy","6","Yes","Yes","24% of cy"
"net.dm","1","Yes","Yes","1% of dm"
"net.dz","1","Yes","No","<1% of dz"
"net.et","5","Yes","No","1% of et"
"net.ge","12","Yes","Yes","<1% of ge"
"net.gg","1","Yes","Yes","<1% of gg"
"net.gl","1","Yes","Yes","<1% of gl"
"net.gn","13","Yes","No","13% of gn"
"net.gr","414","Yes","Yes","<1% of gr"
"net.gy","3","Yes","Yes","<1% of gy"
"net.hn","1","Yes","Yes","<1% of hn"
"net.ht","2","Yes","Yes","<1% of ht"
"net.il","94","Yes","No","<1% of il"
"net.im","1","Yes","Yes","<1% of im"
"net.in","16408","Yes","Yes","2% of in"
"net.iq","1","Yes","No","1% of iq"
"net.ir","20","Yes","Yes","<1% of ir"
"net.je","2","Yes","Yes","<1% of je"
"net.jo","13","Yes","Yes","1% of jo"
"net.ki","3","Yes","Yes","6% of ki"
"net.lr","3","Yes","No","3% of lr"
"net.lv","11","Yes","Yes","<1% of lv"
"net.me","4","Yes","Yes","<1% of me"
"net.ml","5","Yes","Yes","<1% of ml"
